ALARM_ID,VEHICLE_ID,PLATE_COLOR_ID,ALARMID
1.51201E+21,10290829,1,1512009245000102908292_10290829_1
1.51203E+21,10289953,1,1512025898000102899532_10289953_1
1.51203E+21,10291359,1,1512030808000102913592_10291359_1
1.51203E+21,10290234,1,1512033828000102902342_10290234_1
1.51204E+21,10290445,1,1512035715000102904452_10290445_1
1.51204E+21,10291140,2,1512036308000102911402_10291140_2
1.51204E+21,10290809,1,1512036655000102908092_10290809_1
1.51203E+21,10290536,1,1512034852000102905362_10290536_1
1.51204E+21,10290614,1,1512037333000102906142_10290614_1
1.51204E+21,10290428,1,1512037123000102904282_10290428_1
1.51205E+21,10292121,2,1512045643000102921212_10292121_2
1.51205E+21,10292213,2,1512049672000102922132_10292213_2
1.51205E+21,10292213,2,1512049702000102922132_10292213_2
1.51205E+21,10292213,2,1512049762000102922132_10292213_2
1.51205E+21,10292213,2,1512049792000102922132_10292213_2
1.51205E+21,10292213,2,1512049822000102922132_10292213_2
1.51205E+21,10292213,2,1512049732000102922132_10292213_2
1.51205E+21,10292213,2,1512049852000102922132_10292213_2
1.51205E+21,10292213,2,1512049882000102922132_10292213_2
1.51205E+21,10292213,2,1512049912000102922132_10292213_2
1.51205E+21,10292213,2,1512049942000102922132_10292213_2
1.51205E+21,10292213,2,1512049972000102922132_10292213_2
1.51205E+21,10292213,2,1512050002000102922132_10292213_2
1.51205E+21,10292213,2,1512050032000102922132_10292213_2
1.51205E+21,10292213,2,1512050062000102922132_10292213_2
1.51205E+21,10292213,2,1512050092000102922132_10292213_2
1.51205E+21,10292213,2,1512050122000102922132_10292213_2
1.51205E+21,10292213,2,1512050152000102922132_10292213_2
1.51205E+21,10292213,2,1512050182000102922132_10292213_2
1.51205E+21,10292213,2,1512050212000102922132_10292213_2
1.51205E+21,10292213,2,1512050242000102922132_10292213_2
1.51205E+21,10292213,2,1512050272000102922132_10292213_2
1.51205E+21,10292213,2,1512050302000102922132_10292213_2
1.51205E+21,10292213,2,1512050332000102922132_10292213_2
1.51205E+21,10292213,2,1512050362000102922132_10292213_2
1.51205E+21,10292213,2,1512050392000102922132_10292213_2
1.51205E+21,10292213,2,1512050422000102922132_10292213_2
1.51205E+21,10292213,2,1512050452000102922132_10292213_2
1.51205E+21,10292213,2,1512050482000102922132_10292213_2
1.51205E+21,10292213,2,1512050512000102922132_10292213_2
1.51205E+21,10292213,2,1512050542000102922132_10292213_2
1.51205E+21,10292213,2,1512050572000102922132_10292213_2
1.51205E+21,10292213,2,1512050602000102922132_10292213_2
1.51205E+21,10292213,2,1512050632000102922132_10292213_2
1.51205E+21,10292213,2,1512050662000102922132_10292213_2
1.51205E+21,10292213,2,1512050692000102922132_10292213_2
1.51205E+21,10292213,2,1512050722000102922132_10292213_2
1.51205E+21,10292213,2,1512050752000102922132_10292213_2
1.51205E+21,10292213,2,1512050782000102922132_10292213_2
1.51205E+21,10292213,2,1512050812000102922132_10292213_2
1.51205E+21,10292213,2,1512050842000102922132_10292213_2
1.51205E+21,10292213,2,1512050872000102922132_10292213_2
1.51205E+21,10292213,2,1512050902000102922132_10292213_2
1.51205E+21,10292213,2,1512050932000102922132_10292213_2
1.51205E+21,10292213,2,1512051202000102922132_10292213_2
1.51205E+21,10292213,2,1512051232000102922132_10292213_2
1.51205E+21,10292213,2,1512051262000102922132_10292213_2
1.51205E+21,10292213,2,1512051292000102922132_10292213_2
1.51205E+21,10292213,2,1512051306000102922132_10292213_2
1.51205E+21,10292213,2,1512051336000102922132_10292213_2
1.51205E+21,10292213,2,1512051366000102922132_10292213_2
1.51205E+21,10292200,2,1512051518000102922002_10292200_2
1.51205E+21,10292200,2,1512051548000102922002_10292200_2
1.51205E+21,10292200,2,1512051562000102922002_10292200_2
1.51205E+21,10292200,2,1512051572000102922002_10292200_2
1.51205E+21,10292200,2,1512051602000102922002_10292200_2
1.51205E+21,10292200,2,1512051632000102922002_10292200_2
1.51205E+21,10292200,2,1512051662000102922002_10292200_2
1.51205E+21,10292200,2,1512051692000102922002_10292200_2
1.51205E+21,10292200,2,1512051722000102922002_10292200_2
1.51205E+21,10292200,2,1512051732000102922002_10292200_2
1.51205E+21,10292200,2,1512051744000102922002_10292200_2
1.51205E+21,10292200,2,1512051774000102922002_10292200_2
1.51205E+21,10292200,2,1512051804000102922002_10292200_2
1.51205E+21,10292200,2,1512051834000102922002_10292200_2
1.51205E+21,10292200,2,1512051864000102922002_10292200_2
1.51205E+21,10292200,2,1512051894000102922002_10292200_2
1.51205E+21,10292200,2,1512051912000102922002_10292200_2
1.51205E+21,10292200,2,1512051917000102922002_10292200_2
1.51205E+21,10292200,2,1512051925000102922002_10292200_2
1.51205E+21,10292200,2,1512051937000102922002_10292200_2
1.51205E+21,10292200,2,1512051942000102922002_10292200_2
1.51205E+21,10292200,2,1512051949000102922002_10292200_2
1.51205E+21,10292200,2,1512051979000102922002_10292200_2
1.51205E+21,10292200,2,1512052005000102922002_10292200_2
1.51205E+21,10292200,2,1512051989000102922002_10292200_2
1.51205E+21,10292200,2,1512052035000102922002_10292200_2
1.51205E+21,10292200,2,1512052051000102922002_10292200_2
1.51205E+21,10292200,2,1512052062000102922002_10292200_2
1.51205E+21,10292200,2,1512052068000102922002_10292200_2
1.51205E+21,10292200,2,1512052103000102922002_10292200_2
1.51205E+21,10292200,2,1512052122000102922002_10292200_2
1.51205E+21,10292200,2,1512052152000102922002_10292200_2
1.51205E+21,10292200,2,1512052395000102922002_10292200_2
1.51205E+21,10292200,2,1512052427000102922002_10292200_2
1.51205E+21,10292200,2,1512052459000102922002_10292200_2
1.51205E+21,10292200,2,1512052487000102922002_10292200_2
1.51205E+21,10292200,2,1512052520000102922002_10292200_2
1.51205E+21,10292200,2,1512052543000102922002_10292200_2
1.51205E+21,10292200,2,1512052566000102922002_10292200_2
1.51205E+21,10292200,2,1512052596000102922002_10292200_2
1.51205E+21,10292200,2,1512052626000102922002_10292200_2
1.51205E+21,10292200,2,1512052656000102922002_10292200_2
1.51205E+21,10292200,2,1512052686000102922002_10292200_2
1.51205E+21,10292200,2,1512052716000102922002_10292200_2
1.51205E+21,10292200,2,1512052746000102922002_10292200_2
1.51205E+21,10292200,2,1512052776000102922002_10292200_2
1.51205E+21,10292200,2,1512052806000102922002_10292200_2
1.51205E+21,10292200,2,1512052812000102922002_10292200_2
1.51205E+21,10292200,2,1512052842000102922002_10292200_2
1.51205E+21,10292200,2,1512052872000102922002_10292200_2
1.51205E+21,10292200,2,1512052896000102922002_10292200_2
1.51205E+21,10292200,2,1512052926000102922002_10292200_2
1.51205E+21,10292200,2,1512052956000102922002_10292200_2
1.51205E+21,10292200,2,1512052970000102922002_10292200_2
1.51205E+21,10292200,2,1512053003000102922002_10292200_2
1.51205E+21,10292200,2,1512053033000102922002_10292200_2
1.51205E+21,10292200,2,1512053063000102922002_10292200_2
1.51205E+21,10292200,2,1512053093000102922002_10292200_2
1.51205E+21,10292200,2,1512053123000102922002_10292200_2
1.51205E+21,10292200,2,1512053153000102922002_10292200_2
1.51205E+21,10292200,2,1512053183000102922002_10292200_2
1.51205E+21,10292200,2,1512053213000102922002_10292200_2
1.51205E+21,10292200,2,1512053219000102922002_10292200_2
1.51205E+21,10292200,2,1512053227000102922002_10292200_2
1.51205E+21,10292200,2,1512053257000102922002_10292200_2
1.51205E+21,10292200,2,1512053263000102922002_10292200_2
1.51205E+21,10292200,2,1512053282000102922002_10292200_2
1.51205E+21,10292200,2,1512053312000102922002_10292200_2
1.51205E+21,10292200,2,1512053342000102922002_10292200_2
1.51205E+21,10292200,2,1512053372000102922002_10292200_2
1.51205E+21,10292200,2,1512053381000102922002_10292200_2
1.51205E+21,10292200,2,1512053390000102922002_10292200_2
1.51205E+21,10292200,2,1512053420000102922002_10292200_2
1.51205E+21,10292200,2,1512053450000102922002_10292200_2
1.51205E+21,10292200,2,1512053480000102922002_10292200_2
1.51205E+21,10292200,2,1512053493000102922002_10292200_2
1.51205E+21,10292200,2,1512053510000102922002_10292200_2
1.51205E+21,10292200,2,1512053540000102922002_10292200_2
1.51205E+21,10292200,2,1512053570000102922002_10292200_2
1.51205E+21,10292200,2,1512053588000102922002_10292200_2
1.51205E+21,10292200,2,1512053618000102922002_10292200_2
1.51205E+21,10292200,2,1512053639000102922002_10292200_2
1.51205E+21,10292200,2,1512053672000102922002_10292200_2
1.51205E+21,10292200,2,1512053702000102922002_10292200_2
1.51205E+21,10292200,2,1512053722000102922002_10292200_2
1.51205E+21,10292200,2,1512053752000102922002_10292200_2
1.51205E+21,10292200,2,1512053763000102922002_10292200_2
1.51205E+21,10292200,2,1512053793000102922002_10292200_2
1.51205E+21,10292200,2,1512053823000102922002_10292200_2
1.51205E+21,10292200,2,1512053853000102922002_10292200_2
1.51205E+21,10292200,2,1512053883000102922002_10292200_2
1.51205E+21,10292200,2,1512053913000102922002_10292200_2
1.51205E+21,10292200,2,1512053943000102922002_10292200_2
